"","UnitID","IndicatorID","CategoryID","Name","Code","Parameters","Units","YearMin","YearMax","MonthMin","MonthMax","DepthMin","DepthMax","Metric","Response","Applied","Comments","ACDEV","GTC_HM","GTC_ML","STC_HM","STC_ML","GSC_HM","GSC_ML","SSC_HM","SSC_ML","IW","ET","EQR_HG","EQR_GM","EQR_MP","EQR_PB","W","GridID","Period","ES","SD","N","NM","GridArea","EQR","EQRS","GTC","NMP","STC","NG","GSC","UnitArea","SSC","SE","CI","BEST","EQRS_Class"
"1",1,301,NA,"Chlorophyll a (in-situ)","CPHL-IN-SITU","CPHL","ug/l",2006,2014,3,10,0,10,"Mean",1,1,NA,50,26,14,1,3,1,0.6,80,60,NA,2.155767,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,17954,2006,0.8,NA,1,1,69974595.4116092,1,1,0,8,0,2.8320572388819,0,283205723.888189,0,NA,NA,1.437178,"High"
"2",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,925,2012,6.72,NA,1,1,2632836676.00458,0.785683563690476,0.768023854621849,0,4,0,60.3613568898474,0,217300884803.446,0,NA,NA,5.279793548,"Good"
"3",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,964,2012,6.12,NA,1,1,3.6e+09,0.862711364052288,0.856742292924126,0,4,0,60.3613568898474,0,217300884803.446,0,NA,NA,5.279793548,"High"
"4",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,965,2012,6.12,NA,1,1,3.6e+09,0.862711364052288,0.856742292924126,0,4,0,60.3613568898474,0,217300884803.446,0,NA,NA,5.279793548,"High"
"5",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,966,2012,5.82,NA,1,1,3.6e+09,0.907181021993127,0.903145414253698,0,4,0,60.3613568898474,0,217300884803.446,0,NA,NA,5.279793548,"High"
"6",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,1000,2012,7.05,NA,1,1,3.6e+09,0.748906886241135,0.716103839399249,0,4,0,60.3613568898474,0,217300884803.446,0,NA,NA,5.279793548,"Good"
"7",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,1002,2011,7.88,NA,1,1,3.6e+09,0.670024561928934,0.604740558017319,0,4,0,60.3613568898474,0,217300884803.446,0,NA,NA,5.279793548,"Good"
"8",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,1039,2012,7.93,NA,1,1,3.6e+09,0.665799943001261,0.598776390119427,0,4,0,60.3613568898474,0,217300884803.446,0,NA,NA,5.279793548,"Moderate"
"9",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,1040,2011,8.36,0.14142135623731,2,1,3.6e+09,0.63155425215311,0.55042953245145,0,4,0,60.3613568898474,0,217300884803.446,0,0.100000000000001,0.195996398454006,5.279793548,"Moderate"
"10",2,1,11,"Dissolved Inorganic Nitrogen","DIN","NTRA+NTRI+AMON","umol/l",2006,2014,11,2,0,10,"Mean",1,1,NA,50,12,6,0,2,0.8,0.4,70,50,50,7.919690322,0.808333333333333,0.666666666666667,0.525,0.383333333333333,NA,1041,2011,8.29666666666667,0.127410099024109,3,1,3.6e+09,0.636375276978706,0.557235685146409,0,4,0,60.3613568898474,0,217300884803.446,0,0.0735602549690462,0.144175450432914,5.279793548,"Moderate"
